doc_id,word_count,token_count,sentence_count,char_count,char_count_no_spaces,avg_words_per_sentence,avg_syllables_per_word,flesch_kincaid_grade,gunning_fog_index,lexical_density,lexical_diversity,keyword_density,sentiment_polarity,named_entity_count,distinct_entity_types,most_frequent_entity,most_frequent_entity_count
(Blooper)_Bunny_8dbe4cbf9c,1717,1195,64,10440,8634,26.828125,1.5713453698311008,13.414844114006993,15.809875509609785,0.5736750145602796,0.39079790331974373,0.04950495049504951,,175,11,Bugs,16
0.0._Duck_c54e2adeaa,19429,13805,900,117312,96836,21.587777777777777,1.555046579854856,11.178782975620638,12.841194800441494,0.5828915538627825,0.18837819753976015,0.04838128570693293,,2870,18,Scrooge,154
100th_Anniversary_of_the_Canadian_Navy_96b8045dc8,466,307,19,2974,2492,24.526315789473685,1.7532188841201717,14.663245990512763,15.99078382651909,0.5879828326180258,0.4592274678111588,0.0944206008583691,,52,9,Canadian,4
101_Dalmatians_(1996_film)_b2ef602755,1396,1000,74,8590,7099,18.864864864864863,1.6060171919770774,10.71830016262681,11.700673739642221,0.583810888252149,0.4032951289398281,0.06303724928366762,,233,14,Anita,14
101_Shark_Pets_a28f849c9b,218,145,5,1203,971,43.6,1.385321100917431,17.76078899082569,20.008807339449543,0.5779816513761468,0.5275229357798165,0.12385321100917432,,13,4,101,2
102_Dalmatians_2b7726fc3a,1497,1080,68,9208,7587,22.014705882352942,1.5684702738810956,11.503684525914576,12.43981688867932,0.5865063460253841,0.41549766199064797,0.0614562458249833,,254,14,Cruella,19
"107–109_Bathurst_Street,_Sydney_f577635f77",9003,6085,384,57393,48021,23.4453125,1.651782739086971,13.044708196226264,16.047013148394978,0.5882483616572254,0.16827724091969343,0.06209041430634233,,828,17,first,40
10_Little_Rubber_Ducks_1640dfcf6d,121,91,4,755,633,30.25,1.5537190082644627,14.541384297520661,17.38925619834711,0.6446280991735537,0.768595041322314,0.11570247933884298,,10,4,10,2
10_Lives_be15f63f40,828,590,41,5016,4141,20.195121951219512,1.6099033816425121,11.282957464357256,12.377565688700367,0.6086956521739131,0.4504830917874396,0.07246376811594203,,126,10,Rose,10
10_Promises_to_My_Dog_79e1c7b036,991,709,59,5804,4772,16.796610169491526,1.6387487386478305,10.297913082146096,10.633881202004481,0.5812310797174571,0.40766902119071646,0.08173562058526741,,114,11,Akari,32
12410_Donald_Duck_24d4bf2574,155,105,7,997,837,22.142857142857142,1.8193548387096774,14.51410138248848,15.824884792626728,0.6,0.6258064516129033,0.12903225806451613,,9,4,12410,1
135th_Aero_Squadron_4e90312f30,1888,1437,87,12452,10339,21.701149425287355,1.6641949152542372,12.510948275862066,12.960120787064097,0.614406779661017,0.3172669491525424,0.059322033898305086,,325,16,France,15
14_Carrot_Rabbit_5c172e28ff,219,162,11,1258,1026,19.90909090909091,1.447488584474886,9.254910751349112,11.981901203819014,0.593607305936073,0.589041095890411,0.1324200913242009,,31,6,Sam,7
1925_serum_run_to_Nome_01f9f5d511,6154,4409,308,37089,30473,19.98051948051948,1.5599610009749756,10.609942408907312,11.820612082100546,0.5823854403639909,0.25008124796880077,0.04176145596360091,,901,18,Nome,26
