feature,spearman_r,spearman_p,kendall_t,kendall_p,direction_conflict,mutual_info_norm,partial_r,partial_p,mw_effect_top10,mw_p_top10,mw_effect_top20,mw_p_top20,has_breakpoint,breakpoint_value
sentence_count,-0.5508774555312979,0.0,-0.39876335696485365,0.0,False,0.11269438157295536,0.036654843078877376,1.0342910785615694e-07,-0.8232862337882036,0.0,-0.6854682927934739,0.0,True,67.53561317952781
word_count,-0.5495369549693551,0.0,-0.3929739418513412,0.0,False,0.11012009627901388,-0.05406710376484378,4.1221652528025054e-15,-0.8228782455161376,0.0,-0.6857652541840678,0.0,True,1250.7561856364161
char_count,-0.5475888937523742,0.0,-0.3911147599600214,0.0,False,0.10872009028882818,-0.0050029470810619885,0.46786460996551105,-0.8213760749904693,0.0,-0.683820298714042,0.0,True,8218.352890376382
non_whitespace_char_count,-0.5474207671285695,0.0,-0.39098151322633656,0.0,False,0.1084300028378776,0.018573266588405545,0.007032342139224316,-0.8213038427263839,0.0,-0.6836476972166947,0.0,True,6847.000311152631
token_count,-0.5449436243363562,0.0,-0.38935444361609345,0.0,False,0.10831903476789533,-0.05920788443087642,8.047550103230675e-18,-0.8197004267691619,0.0,-0.6819800569800569,0.0,True,796.3855950399501
syllable_count,-0.5478939250809503,0.0,-0.39143399475700036,0.0,False,0.10777124474525439,0.012356832296538917,0.07295561490020165,-0.8214900731873436,0.0,-0.6838210315692606,0.0,True,2075.9977228265175
lexical_diversity,0.5143301731105772,0.0,0.363234897841116,0.0,False,0.09293716159459384,0.0046744231904275865,0.49759005018238334,0.7960733609213981,0.0,0.6525831060636553,0.0,True,0.5573417829886423
entity_count,-0.4893007265457225,0.0,-0.3458297447344215,0.0,False,0.08993453804337347,0.06193885473988124,2.3348693016229317e-19,-0.765074470136381,0.0,-0.6277863437278135,0.0,True,197.42793858007968
sentiment_polarity,-0.1407518900456075,1.2594142417247185e-93,-0.10326538834391324,1.5669119627639669e-109,False,0.0745042723302764,0.044116528933139595,1.507118194072044e-10,-0.06656495020959641,4.981417241754378e-07,-0.11934905206304935,2.869195020955951e-33,True,0.2876315283377416
avg_words_per_sentence,-0.2083366202406576,3.3931976841593396e-205,-0.1395273361232589,3.681979406809798e-202,False,0.04177126075992903,0.0653417253994966,2.2759419498596552e-21,-0.2385416779412135,2.4506923329546154e-72,-0.2393983050073516,5.278738794467732e-128,True,20.780105106130243
lexical_density,-0.015573382054641633,0.023826543564047085,-0.011303807633705984,0.013947402380474379,False,0.03572153877796309,0.03363038596399406,1.0537683714527917e-06,-0.07573002942005336,1.1269228968807792e-08,-0.04721111100963893,2.0688659751874528e-06,True,0.5989697742162593
avg_syllables_per_word,0.17188232348344454,2.445027830905354e-139,0.1141479372396259,3.820949527207915e-136,False,0.035432562947147035,0.006735850409437925,0.3283624703894059,0.1686076676139291,4.953611882273429e-37,0.17363511916620467,3.0376789669538022e-68,True,1.4926447560211475
gunning_fog_index,-0.10401110495484665,9.721981048439974e-52,-0.06940553526277705,1.5798467965244328e-51,False,0.034323560818259706,0.00532028921625438,0.4401104329564709,-0.02719779002844991,0.040282119306745294,-0.08802370538588833,8.76530610392405e-19,True,14.231105533563701
flesch_kincaid_grade,-0.05620744186065559,3.2832033890271146e-16,-0.038085173789074285,1.1578917223565848e-16,False,0.03161244882298117,-0.010222381112455403,0.13797912421342984,-0.09062064927760716,8.302066628630991e-12,-0.08399170509364828,3.054727010908619e-17,True,13.543203069941267
avg_token_length,0.11736021817608287,1.8029692074300937e-65,0.07793157162495203,1.7342595624765184e-64,False,0.029594086686612796,-0.07399033441992044,5.854922663416461e-27,0.14147564577598348,1.4375802101086834e-26,0.13944435086447038,1.18245645394256e-44,True,6.412428342783322
entity_density,0.1131610076199257,5.718541981903263e-61,,,False,,,,,,,,False,
sentence_complexity,-0.16352849242049747,3.9096086155658184e-126,,,False,,,,,,,,False,
syllable_density,0.17188232348344454,2.445027830905354e-139,,,False,,,,,,,,False,
token_word_ratio,0.04013516597688291,5.671520240683764e-09,,,False,,,,,,,,False,
