model,token,n_cells,pearson_r,spearman_rho,mean_signed_diff,mean_abs_diff,sign_agreement
BM25,bm25,450,0.9995449180382363,0.9991435019432195,-0.050940964570488155,0.09390746926180664,0.9977777777777778
TF-IDF,tfidf,450,0.9992573140640745,0.9991582509872478,-0.022167541384135354,0.048145319199446354,0.9888888888888889
SBERT,sbert,450,0.9997388034981685,0.9996954059032391,0.02957790739486219,0.06749873027627691,1.0
E5,e5,450,0.9997703865372497,0.9997242455518299,0.0357024061118789,0.07064458936852225,1.0
ColBERT,colbert,450,0.9995461434806899,0.9993439309165314,0.0002944546132300659,0.044986093187507126,0.9911111111111112
Cross-Encoder,cross_encoder,450,0.9994044730999317,0.9993168032105508,-0.04717243007787882,0.10071293334390395,0.9977777777777778
